,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,25,36705,226802,1812,7,16117,3022,7581,4685,32650,0,0,40,44689,0
1,38,36705,89814,15784,9,22379,1490,19716,41762,32650,0,0,50,44689,0
2,28,3136,336951,1601,12,22379,983,19716,41762,32650,0,0,40,44689,1
3,44,36705,160323,10878,10,22379,3022,19716,4685,32650,7688,0,40,44689,1
4,18,36705,103497,10878,10,16117,8981,7581,41762,16192,0,0,30,44689,0
5,34,36705,198693,1389,6,16117,4923,12583,41762,32650,0,0,30,44689,0
6,29,36705,227026,15784,9,16117,8981,5125,4685,32650,0,0,40,44689,0
7,63,3862,104626,834,15,22379,8981,19716,41762,32650,3103,0,32,44689,1
8,24,36705,369667,10878,10,16117,4923,5125,41762,16192,0,0,40,44689,0
9,55,36705,104996,955,4,22379,6112,19716,41762,32650,0,0,10,44689,0
10,65,36705,184454,15784,9,22379,3022,19716,41762,32650,6418,0,40,44689,1
11,36,1432,212465,8025,13,22379,5611,19716,41762,32650,0,0,40,44689,0
12,26,36705,82091,15784,9,16117,5611,12583,41762,16192,0,0,39,44689,0
13,58,36705,299831,15784,9,22379,8981,19716,41762,32650,0,0,35,44689,0
14,48,36705,279724,15784,9,22379,3022,19716,41762,32650,3103,0,48,44689,1
15,43,36705,346189,2657,14,22379,6086,19716,41762,32650,0,0,50,44689,1
16,20,1981,444554,10878,10,16117,4923,7581,41762,32650,0,0,25,44689,0
17,43,36705,128354,15784,9,22379,5611,2331,41762,16192,0,0,30,44689,0
18,37,36705,60548,15784,9,1518,3022,5125,41762,16192,0,0,20,44689,0
19,40,36705,85019,594,16,22379,8981,19716,1519,32650,0,0,45,44689,1
20,34,36705,107914,8025,13,22379,1446,19716,41762,32650,0,0,47,44689,1
21,34,36705,238588,10878,10,16117,4923,7581,4685,16192,0,0,35,44689,0
22,72,36705,132015,955,4,6633,8981,12583,41762,16192,0,0,6,44689,0
23,25,36705,220931,8025,13,16117,8981,12583,41762,32650,0,0,43,46,0
24,25,36705,205947,8025,13,22379,8981,19716,41762,32650,0,0,40,44689,0
25,45,3862,432824,15784,9,22379,6112,19716,41762,32650,7298,0,90,44689,1
26,22,36705,236427,15784,9,16117,5611,7581,41762,32650,0,0,20,44689,0
27,23,36705,134446,15784,9,1530,3022,5125,4685,32650,0,0,54,44689,0
28,54,36705,99516,15784,9,22379,6112,19716,41762,32650,0,0,35,44689,0
29,32,3862,109282,10878,10,16117,8981,12583,41762,32650,0,0,60,44689,0
30,46,1981,106444,10878,10,22379,6086,19716,4685,32650,7688,0,38,44689,1
31,56,3862,186651,1812,7,1518,4923,5125,41762,16192,0,0,50,44689,0
32,24,3862,188274,8025,13,16117,5504,12583,41762,32650,0,0,50,44689,0
33,23,3136,258120,10878,10,22379,983,19716,41762,32650,0,0,40,44689,0
34,26,36705,43311,15784,9,6633,6086,5125,41762,16192,0,0,40,44689,0
35,65,36705,191846,15784,9,22379,8981,19716,41762,32650,0,0,40,44689,0
36,36,3136,403681,8025,13,22379,8981,19716,41762,32650,0,0,40,44689,1
37,22,36705,248446,509,3,16117,242,12583,41762,32650,0,0,50,88,0
