,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,income
0,0,3,0,0,1,1,2,1,25,226802,7,0,0,40,0
1,1,1,1,2,0,1,2,0,38,89814,9,0,0,50,0
2,1,1,0,1,0,3,2,0,28,336951,12,0,0,40,1
3,1,1,0,1,1,1,2,1,44,160323,10,7688,0,40,1
4,1,3,0,0,0,0,2,2,18,103497,10,0,0,30,0
5,3,2,0,0,0,1,2,0,34,198693,6,0,0,30,0
6,1,2,1,0,0,1,3,0,29,227026,9,0,0,40,0
7,2,0,0,1,1,2,2,0,63,104626,15,3103,0,32,1
8,1,2,0,0,0,0,3,2,24,369667,10,0,0,40,0
9,2,1,1,1,0,1,2,0,55,104996,4,0,0,10,0
10,1,1,1,1,1,1,2,0,65,184454,9,6418,0,40,1
11,2,0,0,1,1,1,2,1,36,212465,13,0,0,40,0
12,1,2,1,0,0,0,2,2,26,82091,9,0,0,39,0
13,2,1,1,1,0,1,2,0,58,299831,9,0,0,35,0
14,1,1,1,1,1,1,2,0,48,279724,9,3103,0,48,1
15,1,1,1,1,0,1,2,1,43,346189,14,0,0,50,1
16,2,2,0,0,0,1,2,1,20,444554,10,0,0,25,0
17,0,1,1,1,0,1,2,2,43,128354,9,0,0,30,0
18,0,1,1,0,1,1,3,1,37,60548,9,0,0,20,0
19,2,2,0,1,1,1,1,0,40,85019,16,0,0,45,1
20,1,1,0,1,1,1,3,0,34,107914,13,0,0,47,1
21,1,3,0,0,0,0,2,2,34,238588,10,0,0,35,0
22,3,1,0,0,0,1,2,1,72,132015,4,0,0,6,0
23,3,2,0,0,1,1,1,0,25,220931,13,0,0,43,0
24,2,1,0,1,1,1,2,0,25,205947,13,0,0,40,0
25,1,0,2,1,0,2,2,0,45,432824,9,7298,0,90,1
26,0,3,1,0,0,1,2,1,22,236427,9,0,0,20,0
27,0,1,1,0,1,1,4,0,23,134446,9,0,0,54,0
28,1,1,2,1,0,1,2,0,54,99516,9,0,0,35,0
29,2,1,0,0,0,2,2,1,32,109282,10,0,0,60,0
30,2,0,1,1,0,1,2,1,46,106444,10,7688,0,38,1
31,1,0,0,0,0,2,3,2,56,186651,7,0,0,50,0
32,1,1,0,0,1,3,2,0,24,188274,13,0,0,50,0
33,1,1,0,1,0,2,2,1,23,258120,10,0,0,40,0
34,0,1,2,0,0,1,3,1,26,43311,9,0,0,40,0
35,2,1,1,1,0,1,2,0,65,191846,9,0,0,40,0
36,2,1,0,1,1,1,2,0,36,403681,13,0,0,40,1
37,1,2,1,0,1,1,2,0,22,248446,3,0,0,50,0
38,2,2,0,0,1,1,2,0,17,269430,6,0,0,40,0
39,0,3,2,0,0,1,2,0,20,257509,9,0,0,40,0
40,2,1,0,1,0,1,2,1,65,136384,14,0,0,50,1
41,2,0,0,2,0,2,2,0,44,120277,11,0,0,45,1
42,1,1,1,2,0,1,2,0,36,465326,9,0,0,40,0
43,2,1,0,1,0,1,2,1,29,103634,7,0,0,40,0
44,1,2,0,1,0,1,2,1,20,138371,10,0,0,32,0
45,1,1,0,2,0,1,2,1,28,242832,11,0,0,36,1
46,2,2,1,1,0,1,1,0,39,290208,4,0,0,40,0
47,1,1,0,2,0,1,2,1,54,186272,10,3908,0,50,0
48,1,1,0,0,1,0,3,2,52,201062,7,0,0,18,0
49,2,0,2,0,0,1,2,1,56,131916,9,0,0,50,0
50,1,3,0,0,0,1,2,1,18,54440,10,0,0,20,0
51,0,2,2,0,0,2,2,0,39,280215,9,0,0,40,0
52,1,3,0,0,0,0,2,2,21,214399,10,0,1721,24,0
53,2,2,1,0,0,1,2,0,22,54164,9,14084,0,60,1
54,1,2,1,0,0,2,1,1,38,219446,5,0,0,54,0
55,0,3,0,0,0,0,2,3,21,110677,10,0,0,40,0
56,1,1,2,1,0,1,2,0,63,145985,9,0,0,40,0
57,1,1,1,1,1,1,2,0,34,382078,13,3103,0,50,1
58,2,0,2,1,0,1,2,0,42,170721,9,5178,0,50,1
59,1,1,2,1,0,1,2,0,33,269705,9,0,0,40,0
